plate,slot,part,color,finish_color,dimensions_mm,quantity_on_plate,quantity_in_assembly,suggested_placement,suggested_step,candidate_placements,candidate_steps,all_source_slots
B-black-01.3mf,1,BASE3-03x10-T-aa77a9,black,,23.8 x 79.8 x 11.4,2,2,B-006,3,B-006 B-015,3 5,B-black-01.3mf#1 B-black-01.3mf#2
B-black-01.3mf,2,BASE3-03x10-T-aa77a9,black,,23.8 x 79.8 x 11.4,2,2,B-015,5,B-006 B-015,3 5,B-black-01.3mf#1 B-black-01.3mf#2
B-black-01.3mf,3,BASE3-03x10-T-d79875,black,,23.8 x 79.8 x 11.4,2,2,B-010,3,B-010 B-019,3 5,B-black-01.3mf#3 B-black-01.3mf#4
B-black-01.3mf,4,BASE3-03x10-T-d79875,black,,23.8 x 79.8 x 11.4,2,2,B-019,5,B-010 B-019,3 5,B-black-01.3mf#3 B-black-01.3mf#4
B-black-01.3mf,5,BASE3-06x10-T-6159e6,black,,47.8 x 79.8 x 11.4,2,2,B-009,3,B-009 B-018,3 5,B-black-01.3mf#5 B-black-01.3mf#6
B-black-01.3mf,6,BASE3-06x10-T-6159e6,black,,47.8 x 79.8 x 11.4,2,2,B-018,5,B-009 B-018,3 5,B-black-01.3mf#5 B-black-01.3mf#6
B-black-01.3mf,7,BASE3-06x10-T-6e100f,black,,47.8 x 79.8 x 11.4,2,2,B-005,2,B-005 B-014,2 4,B-black-01.3mf#7 B-black-01.3mf#8
B-black-01.3mf,8,BASE3-06x10-T-6e100f,black,,47.8 x 79.8 x 11.4,2,2,B-014,4,B-005 B-014,2 4,B-black-01.3mf#7 B-black-01.3mf#8
B-black-02.3mf,1,BASE3-06x10-T-e1945a,black,,47.8 x 79.8 x 11.4,2,2,B-002,2,B-002 B-011,2 4,B-black-02.3mf#1 B-black-02.3mf#2
B-black-02.3mf,2,BASE3-06x10-T-e1945a,black,,47.8 x 79.8 x 11.4,2,2,B-011,4,B-002 B-011,2 4,B-black-02.3mf#1 B-black-02.3mf#2
B-black-02.3mf,3,BASE3-24x10-B-562406,black,,191.8 x 79.8 x 11.4,1,1,B-001,1,B-001,1,B-black-02.3mf#3
B-black-03.3mf,1,BASE3-06x10-T-3f87ac,black,,47.8 x 76.4 x 11.4,2,2,B-004,2,B-004 B-013,2 4,B-black-03.3mf#1 B-black-03.3mf#2
B-black-03.3mf,2,BASE3-06x10-T-3f87ac,black,,47.8 x 76.4 x 11.4,2,2,B-013,4,B-004 B-013,2 4,B-black-03.3mf#1 B-black-03.3mf#2
B-black-03.3mf,3,BASE3-06x10-T-838259,black,,47.8 x 76.4 x 11.4,4,6,B-003,2,B-003 B-007 B-008 B-012 B-016 B-017,2 3 4 5,B-black-03.3mf#3 B-black-03.3mf#4 B-black-03.3mf#5 B-black-03.3mf#6 B-black-04.3mf#1 B-black-04.3mf#2
B-black-03.3mf,4,BASE3-06x10-T-838259,black,,47.8 x 76.4 x 11.4,4,6,B-007,3,B-003 B-007 B-008 B-012 B-016 B-017,2 3 4 5,B-black-03.3mf#3 B-black-03.3mf#4 B-black-03.3mf#5 B-black-03.3mf#6 B-black-04.3mf#1 B-black-04.3mf#2
B-black-03.3mf,5,BASE3-06x10-T-838259,black,,47.8 x 76.4 x 11.4,4,6,B-008,3,B-003 B-007 B-008 B-012 B-016 B-017,2 3 4 5,B-black-03.3mf#3 B-black-03.3mf#4 B-black-03.3mf#5 B-black-03.3mf#6 B-black-04.3mf#1 B-black-04.3mf#2
B-black-03.3mf,6,BASE3-06x10-T-838259,black,,47.8 x 76.4 x 11.4,4,6,B-012,4,B-003 B-007 B-008 B-012 B-016 B-017,2 3 4 5,B-black-03.3mf#3 B-black-03.3mf#4 B-black-03.3mf#5 B-black-03.3mf#6 B-black-04.3mf#1 B-black-04.3mf#2
B-black-04.3mf,1,BASE3-06x10-T-838259,black,,47.8 x 76.4 x 11.4,2,6,B-016,5,B-003 B-007 B-008 B-012 B-016 B-017,2 3 4 5,B-black-03.3mf#3 B-black-03.3mf#4 B-black-03.3mf#5 B-black-03.3mf#6 B-black-04.3mf#1 B-black-04.3mf#2
B-black-04.3mf,2,BASE3-06x10-T-838259,black,,47.8 x 76.4 x 11.4,2,6,B-017,5,B-003 B-007 B-008 B-012 B-016 B-017,2 3 4 5,B-black-03.3mf#3 B-black-03.3mf#4 B-black-03.3mf#5 B-black-03.3mf#6 B-black-04.3mf#1 B-black-04.3mf#2
B-black-04.3mf,3,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-029,9,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-04.3mf,4,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-031,9,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-04.3mf,5,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-036,10,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-04.3mf,6,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-039,11,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-04.3mf,7,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-042,11,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-04.3mf,8,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-052,13,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-04.3mf,9,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-055,13,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-04.3mf,10,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-056,13,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-04.3mf,11,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-058,13,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-04.3mf,12,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-069,15,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-04.3mf,13,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-072,15,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-04.3mf,14,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-073,15,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-04.3mf,15,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-075,15,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-04.3mf,16,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-098,19,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-04.3mf,17,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-101,19,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-04.3mf,18,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-112,21,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-04.3mf,19,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,17,19,B-115,21,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-05.3mf,1,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,2,19,B-126,23,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-05.3mf,2,BR-02x04-H096,black,,15.8 x 31.8 x 11.4,2,19,B-129,23,B-029 B-031 B-036 B-039 B-042 B-052 B-055 B-056 B-058 B-069 B-072 B-073 B-075 B-098 B-101 B-112 B-115 B-126 B-129,9 10 11 13 15 19 21 23,B-black-04.3mf#3 B-black-04.3mf#4 B-black-04.3mf#5 B-black-04.3mf#6 B-black-04.3mf#7 B-black-04.3mf#8 B-black-04.3mf#9 B-black-04.3mf#10 B-black-04.3mf#11 B-black-04.3mf#12 B-black-04.3mf#13 B-black-04.3mf#14 B-black-04.3mf#15 B-black-04.3mf#16 B-black-04.3mf#17 B-black-04.3mf#18 B-black-04.3mf#19 B-black-05.3mf#1 B-black-05.3mf#2
B-black-05.3mf,3,BR-03x04-H096,black,,23.8 x 31.8 x 11.4,12,12,B-053,13,B-053 B-059 B-070 B-076 B-092 B-095 B-106 B-109 B-120 B-123 B-134 B-137,13 15 18 20 22 24,B-black-05.3mf#3 B-black-05.3mf#4 B-black-05.3mf#5 B-black-05.3mf#6 B-black-05.3mf#7 B-black-05.3mf#8 B-black-05.3mf#9 B-black-05.3mf#10 B-black-05.3mf#11 B-black-05.3mf#12 B-black-05.3mf#13 B-black-05.3mf#14
B-black-05.3mf,4,BR-03x04-H096,black,,23.8 x 31.8 x 11.4,12,12,B-059,13,B-053 B-059 B-070 B-076 B-092 B-095 B-106 B-109 B-120 B-123 B-134 B-137,13 15 18 20 22 24,B-black-05.3mf#3 B-black-05.3mf#4 B-black-05.3mf#5 B-black-05.3mf#6 B-black-05.3mf#7 B-black-05.3mf#8 B-black-05.3mf#9 B-black-05.3mf#10 B-black-05.3mf#11 B-black-05.3mf#12 B-black-05.3mf#13 B-black-05.3mf#14
B-black-05.3mf,5,BR-03x04-H096,black,,23.8 x 31.8 x 11.4,12,12,B-070,15,B-053 B-059 B-070 B-076 B-092 B-095 B-106 B-109 B-120 B-123 B-134 B-137,13 15 18 20 22 24,B-black-05.3mf#3 B-black-05.3mf#4 B-black-05.3mf#5 B-black-05.3mf#6 B-black-05.3mf#7 B-black-05.3mf#8 B-black-05.3mf#9 B-black-05.3mf#10 B-black-05.3mf#11 B-black-05.3mf#12 B-black-05.3mf#13 B-black-05.3mf#14
B-black-05.3mf,6,BR-03x04-H096,black,,23.8 x 31.8 x 11.4,12,12,B-076,15,B-053 B-059 B-070 B-076 B-092 B-095 B-106 B-109 B-120 B-123 B-134 B-137,13 15 18 20 22 24,B-black-05.3mf#3 B-black-05.3mf#4 B-black-05.3mf#5 B-black-05.3mf#6 B-black-05.3mf#7 B-black-05.3mf#8 B-black-05.3mf#9 B-black-05.3mf#10 B-black-05.3mf#11 B-black-05.3mf#12 B-black-05.3mf#13 B-black-05.3mf#14
B-black-05.3mf,7,BR-03x04-H096,black,,23.8 x 31.8 x 11.4,12,12,B-092,18,B-053 B-059 B-070 B-076 B-092 B-095 B-106 B-109 B-120 B-123 B-134 B-137,13 15 18 20 22 24,B-black-05.3mf#3 B-black-05.3mf#4 B-black-05.3mf#5 B-black-05.3mf#6 B-black-05.3mf#7 B-black-05.3mf#8 B-black-05.3mf#9 B-black-05.3mf#10 B-black-05.3mf#11 B-black-05.3mf#12 B-black-05.3mf#13 B-black-05.3mf#14
B-black-05.3mf,8,BR-03x04-H096,black,,23.8 x 31.8 x 11.4,12,12,B-095,18,B-053 B-059 B-070 B-076 B-092 B-095 B-106 B-109 B-120 B-123 B-134 B-137,13 15 18 20 22 24,B-black-05.3mf#3 B-black-05.3mf#4 B-black-05.3mf#5 B-black-05.3mf#6 B-black-05.3mf#7 B-black-05.3mf#8 B-black-05.3mf#9 B-black-05.3mf#10 B-black-05.3mf#11 B-black-05.3mf#12 B-black-05.3mf#13 B-black-05.3mf#14
B-black-05.3mf,9,BR-03x04-H096,black,,23.8 x 31.8 x 11.4,12,12,B-106,20,B-053 B-059 B-070 B-076 B-092 B-095 B-106 B-109 B-120 B-123 B-134 B-137,13 15 18 20 22 24,B-black-05.3mf#3 B-black-05.3mf#4 B-black-05.3mf#5 B-black-05.3mf#6 B-black-05.3mf#7 B-black-05.3mf#8 B-black-05.3mf#9 B-black-05.3mf#10 B-black-05.3mf#11 B-black-05.3mf#12 B-black-05.3mf#13 B-black-05.3mf#14
B-black-05.3mf,10,BR-03x04-H096,black,,23.8 x 31.8 x 11.4,12,12,B-109,20,B-053 B-059 B-070 B-076 B-092 B-095 B-106 B-109 B-120 B-123 B-134 B-137,13 15 18 20 22 24,B-black-05.3mf#3 B-black-05.3mf#4 B-black-05.3mf#5 B-black-05.3mf#6 B-black-05.3mf#7 B-black-05.3mf#8 B-black-05.3mf#9 B-black-05.3mf#10 B-black-05.3mf#11 B-black-05.3mf#12 B-black-05.3mf#13 B-black-05.3mf#14
B-black-05.3mf,11,BR-03x04-H096,black,,23.8 x 31.8 x 11.4,12,12,B-120,22,B-053 B-059 B-070 B-076 B-092 B-095 B-106 B-109 B-120 B-123 B-134 B-137,13 15 18 20 22 24,B-black-05.3mf#3 B-black-05.3mf#4 B-black-05.3mf#5 B-black-05.3mf#6 B-black-05.3mf#7 B-black-05.3mf#8 B-black-05.3mf#9 B-black-05.3mf#10 B-black-05.3mf#11 B-black-05.3mf#12 B-black-05.3mf#13 B-black-05.3mf#14
B-black-05.3mf,12,BR-03x04-H096,black,,23.8 x 31.8 x 11.4,12,12,B-123,22,B-053 B-059 B-070 B-076 B-092 B-095 B-106 B-109 B-120 B-123 B-134 B-137,13 15 18 20 22 24,B-black-05.3mf#3 B-black-05.3mf#4 B-black-05.3mf#5 B-black-05.3mf#6 B-black-05.3mf#7 B-black-05.3mf#8 B-black-05.3mf#9 B-black-05.3mf#10 B-black-05.3mf#11 B-black-05.3mf#12 B-black-05.3mf#13 B-black-05.3mf#14
B-black-05.3mf,13,BR-03x04-H096,black,,23.8 x 31.8 x 11.4,12,12,B-134,24,B-053 B-059 B-070 B-076 B-092 B-095 B-106 B-109 B-120 B-123 B-134 B-137,13 15 18 20 22 24,B-black-05.3mf#3 B-black-05.3mf#4 B-black-05.3mf#5 B-black-05.3mf#6 B-black-05.3mf#7 B-black-05.3mf#8 B-black-05.3mf#9 B-black-05.3mf#10 B-black-05.3mf#11 B-black-05.3mf#12 B-black-05.3mf#13 B-black-05.3mf#14
B-black-05.3mf,14,BR-03x04-H096,black,,23.8 x 31.8 x 11.4,12,12,B-137,24,B-053 B-059 B-070 B-076 B-092 B-095 B-106 B-109 B-120 B-123 B-134 B-137,13 15 18 20 22 24,B-black-05.3mf#3 B-black-05.3mf#4 B-black-05.3mf#5 B-black-05.3mf#6 B-black-05.3mf#7 B-black-05.3mf#8 B-black-05.3mf#9 B-black-05.3mf#10 B-black-05.3mf#11 B-black-05.3mf#12 B-black-05.3mf#13 B-black-05.3mf#14
B-black-05.3mf,15,BR-04x04-H096,black,,31.8 x 31.8 x 11.4,6,21,B-030,9,B-030 B-034 B-035 B-040 B-041 B-045 B-047 B-049 B-064 B-079 B-080 B-081 B-082 B-091 B-094 B-105 B-108 B-119 B-122 B-133 B-136,9 10 11 12 14 16 18 20 22 24,B-black-05.3mf#15 B-black-05.3mf#16 B-black-05.3mf#17 B-black-05.3mf#18 B-black-05.3mf#19 B-black-05.3mf#20 B-black-06.3mf#1 B-black-06.3mf#2 B-black-06.3mf#3 B-black-06.3mf#4 B-black-06.3mf#5 B-black-06.3mf#6 B-black-06.3mf#7 B-black-06.3mf#8 B-black-06.3mf#9 B-black-06.3mf#10 B-black-06.3mf#11 B-black-06.3mf#12 B-black-06.3mf#13 B-black-06.3mf#14 B-black-06.3mf#15
B-black-05.3mf,16,BR-04x04-H096,black,,31.8 x 31.8 x 11.4,6,21,B-034,10,B-030 B-034 B-035 B-040 B-041 B-045 B-047 B-049 B-064 B-079 B-080 B-081 B-082 B-091 B-094 B-105 B-108 B-119 B-122 B-133 B-136,9 10 11 12 14 16 18 20 22 24,B-black-05.3mf#15 B-black-05.3mf#16 B-black-05.3mf#17 B-black-05.3mf#18 B-black-05.3mf#19 B-black-05.3mf#20 B-black-06.3mf#1 B-black-06.3mf#2 B-black-06.3mf#3 B-black-06.3mf#4 B-black-06.3mf#5 B-black-06.3mf#6 B-black-06.3mf#7 B-black-06.3mf#8 B-black-06.3mf#9 B-black-06.3mf#10 B-black-06.3mf#11 B-black-06.3mf#12 B-black-06.3mf#13 B-black-06.3mf#14 B-black-06.3mf#15
B-black-05.3mf,17,BR-04x04-H096,black,,31.8 x 31.8 x 11.4,6,21,B-035,10,B-030 B-034 B-035 B-040 B-041 B-045 B-047 B-049 B-064 B-079 B-080 B-081 B-082 B-091 B-094 B-105 B-108 B-119 B-122 B-133 B-136,9 10 11 12 14 16 18 20 22 24,B-black-05.3mf#15 B-black-05.3mf#16 B-black-05.3mf#17 B-black-05.3mf#18 B-black-05.3mf#19 B-black-05.3mf#20 B-black-06.3mf#1 B-black-06.3mf#2 B-black-06.3mf#3 B-black-06.3mf#4 B-black-06.3mf#5 B-black-06.3mf#6 B-black-06.3mf#7 B-black-06.3mf#8 B-black-06.3mf#9 B-black-06.3mf#10 B-black-06.3mf#11 B-black-06.3mf#12 B-black-06.3mf#13 B-black-06.3mf#14 B-black-06.3mf#15
B-black-05.3mf,18,BR-04x04-H096,black,,31.8 x 31.8 x 11.4,6,21,B-040,11,B-030 B-034 B-035 B-040 B-041 B-045 B-047 B-049 B-064 B-079 B-080 B-081 B-082 B-091 B-094 B-105 B-108 B-119 B-122 B-133 B-136,9 10 11 12 14 16 18 20 22 24,B-black-05.3mf#15 B-black-05.3mf#16 B-black-05.3mf#17 B-black-05.3mf#18 B-black-05.3mf#19 B-black-05.3mf#20 B-black-06.3mf#1 B-black-06.3mf#2 B-black-06.3mf#3 B-black-06.3mf#4 B-black-06.3mf#5 B-black-06.3mf#6 B-black-06.3mf#7 B-black-06.3mf#8 B-black-06.3mf#9 B-black-06.3mf#10 B-black-06.3mf#11 B-black-06.3mf#12 B-black-06.3mf#13 B-black-06.3mf#14 B-black-06.3mf#15
